Test Case: H100PCIE_aten_bmm
|  B  |  M  |  K   |  N   |              input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|  8  | 256 |  64  |  32  |      [[8, 256, 64], [8, 64, 32]]      | bf16  |      25.81       |       25.92       |      26.03       |        2.27        | 8.39e+06 | 2.13e+05 |      0.04%       |     0.83%     |
| 16  | 256 |  64  |  32  |     [[16, 256, 64], [16, 64, 32]]     | bf16  |      25.83       |       25.97       |      26.21       |        2.53        | 1.68e+07 | 4.26e+05 |      0.09%       |     1.65%     |
| 32  | 256 |  64  |  32  |     [[32, 256, 64], [32, 64, 32]]     | bf16  |      25.81       |       25.92       |      26.14       |        3.06        | 3.36e+07 | 8.52e+05 |      0.17%       |     3.3%      |
|  1  | 512 |  64  |  32  |      [[1, 512, 64], [1, 64, 32]]      | bf16  |      25.47       |       25.62       |      25.86       |        2.06        | 2.10e+06 | 5.12e+04 |      0.01%       |     0.2%      |
|  2  | 512 |  64  |  32  |      [[2, 512, 64], [2, 64, 32]]      | bf16  |       25.9       |       26.06       |      26.35       |        2.13        | 4.19e+06 | 1.02e+05 |      0.02%       |     0.4%      |
|  4  | 512 |  64  |  32  |      [[4, 512, 64], [4, 64, 32]]      | bf16  |      25.86       |       26.02       |      26.21       |        2.26        | 8.39e+06 | 2.05e+05 |      0.04%       |     0.79%     |
|  8  | 512 |  64  |  32  |      [[8, 512, 64], [8, 64, 32]]      | bf16  |      25.91       |       26.16       |      26.43       |        2.51        | 1.68e+07 | 4.10e+05 |      0.09%       |     1.58%     |
| 16  | 512 |  64  |  32  |     [[16, 512, 64], [16, 64, 32]]     | bf16  |       26.0       |       26.08       |      26.24       |        3.02        | 3.36e+07 | 8.19e+05 |      0.17%       |     3.15%     |
| 32  | 512 |  64  |  32  |     [[32, 512, 64], [32, 64, 32]]     | bf16  |      25.73       |       25.79       |      25.96       |        4.05        | 6.71e+07 | 1.64e+06 |      0.34%       |     6.37%     |
|  1  |  1  | 128  |  32  |      [[1, 1, 128], [1, 128, 32]]      | bf16  |      25.19       |       25.39       |      25.67       |        2.01        | 8.19e+03 | 4.26e+03 |       0.0%       |     0.02%     |
|  2  |  1  | 128  |  32  |      [[2, 1, 128], [2, 128, 32]]      | bf16  |      21.23       |       21.33       |      21.48       |        2.01        | 1.64e+04 | 8.51e+03 |       0.0%       |     0.04%     |
|  4  |  1  | 128  |  32  |      [[4, 1, 128], [4, 128, 32]]      | bf16  |      21.05       |       21.19       |      21.41       |        2.02        | 3.28e+04 | 1.70e+04 |       0.0%       |     0.08%     |
|  8  |  1  | 128  |  32  |      [[8, 1, 128], [8, 128, 32]]      | bf16  |      21.24       |       21.3        |      21.44       |        2.04        | 6.55e+04 | 3.40e+04 |       0.0%       |     0.16%     |
| 16  |  1  | 128  |  32  |     [[16, 1, 128], [16, 128, 32]]     | bf16  |      21.18       |       21.26       |      21.47       |        2.09        | 1.31e+05 | 6.81e+04 |       0.0%       |     0.32%     |
| 32  |  1  | 128  |  32  |     [[32, 1, 128], [32, 128, 32]]     | bf16  |      21.18       |       21.31       |      21.37       |        2.17        | 2.62e+05 | 1.36e+05 |       0.0%       |     0.64%     |
|  1  |  2  | 128  |  32  |      [[1, 2, 128], [1, 128, 32]]      | bf16  |       25.3       |       25.43       |      25.61       |        2.01        | 1.64e+04 | 4.42e+03 |       0.0%       |     0.02%     |
|  2  |  2  | 128  |  32  |      [[2, 2, 128], [2, 128, 32]]      | bf16  |      25.15       |       25.4        |      25.58       |        2.01        | 3.28e+04 | 8.83e+03 |       0.0%       |     0.04%     |
|  4  |  2  | 128  |  32  |      [[4, 2, 128], [4, 128, 32]]      | bf16  |      25.44       |       25.58       |      25.77       |        2.02        | 6.55e+04 | 1.77e+04 |       0.0%       |     0.07%     |
|  8  |  2  | 128  |  32  |      [[8, 2, 128], [8, 128, 32]]      | bf16  |      25.51       |       25.62       |       25.7       |        2.04        | 1.31e+05 | 3.53e+04 |       0.0%       |     0.14%     |
| 16  |  2  | 128  |  32  |     [[16, 2, 128], [16, 128, 32]]     | bf16  |      25.54       |       25.76       |       26.0       |        2.09        | 2.62e+05 | 7.07e+04 |       0.0%       |     0.28%     |
| 32  |  2  | 128  |  32  |     [[32, 2, 128], [32, 128, 32]]     | bf16  |      25.46       |       25.54       |      25.65       |        2.18        | 5.24e+05 | 1.41e+05 |       0.0%       |     0.56%     |
|  1  |  4  | 128  |  32  |      [[1, 4, 128], [1, 128, 32]]      | bf16  |      25.27       |       25.42       |      25.58       |        2.01        | 3.28e+04 | 4.74e+03 |       0.0%       |     0.02%     |
|  2  |  4  | 128  |  32  |      [[2, 4, 128], [2, 128, 32]]      | bf16  |      25.51       |       25.6        |       25.7       |        2.01        | 6.55e+04 | 9.47e+03 |       0.0%       |     0.04%     |
|  4  |  4  | 128  |  32  |      [[4, 4, 128], [4, 128, 32]]      | bf16  |      25.33       |       25.49       |      25.68       |        2.02        | 1.31e+05 | 1.89e+04 |       0.0%       |     0.07%     |
|  8  |  4  | 128  |  32  |      [[8, 4, 128], [8, 128, 32]]      | bf16  |      25.23       |       25.32       |      25.56       |        2.05        | 2.62e+05 | 3.79e+04 |       0.0%       |     0.15%     |
| 16  |  4  | 128  |  32  |     [[16, 4, 128], [16, 128, 32]]     | bf16  |      25.52       |       25.66       |      25.79       |        2.09        | 5.24e+05 | 7.58e+04 |       0.0%       |     0.3%      |
| 32  |  4  | 128  |  32  |     [[32, 4, 128], [32, 128, 32]]     | bf16  |      25.57       |       25.69       |      25.82       |        2.19        | 1.05e+06 | 1.52e+05 |      0.01%       |     0.59%     |
|  1  |  8  | 128  |  32  |      [[1, 8, 128], [1, 128, 32]]      | bf16  |      25.05       |       25.34       |      25.48       |        2.01        | 6.55e+04 | 5.38e+03 |       0.0%       |     0.02%     |
|  2  |  8  | 128  |  32  |      [[2, 8, 128], [2, 128, 32]]      | bf16  |      25.49       |       25.6        |       25.8       |        2.01        | 1.31e+05 | 1.08e+04 |       0.0%       |     0.04%     |
|  4  |  8  | 128  |  32  |      [[4, 8, 128], [4, 128, 32]]      | bf16  |      25.34       |       25.56       |      25.91       |        2.03        | 2.62e+05 | 2.15e+04 |       0.0%       |     0.08%     |
|  8  |  8  | 128  |  32  |      [[8, 8, 128], [8, 128, 32]]      | bf16  |      25.12       |       25.33       |       25.7       |        2.05        | 5.24e+05 | 4.30e+04 |       0.0%       |     0.17%     |
| 16  |  8  | 128  |  32  |     [[16, 8, 128], [16, 128, 32]]     | bf16  |      25.49       |       25.67       |      25.78       |        2.11        | 1.05e+06 | 8.60e+04 |      0.01%       |     0.34%     |
