Test Case: H100PCIE_aten_add
|   M   |   N   |  B  |             input_shape              | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) |  flops   |    io    | flops_efficiency | io_efficiency |
|   4   | 5120  | N/A |         [[4, 5120], [5120]]          | bf16  |       3.53       |       3.55        |       3.58       |        2.08        | 2.05e+04 | 6.14e+04 |      0.01%       |     1.74%     |
|   8   | 5120  | N/A |         [[8, 5120], [5120]]          | bf16  |       3.63       |       3.64        |       3.66       |        2.15        | 4.10e+04 | 1.23e+05 |      0.02%       |     3.39%     |
|  16   | 5120  | N/A |         [[16, 5120], [5120]]         | bf16  |       3.64       |       3.66        |       3.67       |        2.31        | 8.19e+04 | 2.46e+05 |      0.04%       |     6.75%     |
|  32   | 5120  | N/A |         [[32, 5120], [5120]]         | bf16  |       3.72       |       3.73        |       3.75       |        2.61        | 1.64e+05 | 4.92e+05 |      0.09%       |    13.21%     |
|  64   | 5120  | N/A |         [[64, 5120], [5120]]         | bf16  |       3.96       |       3.98        |       4.0        |        3.23        | 3.28e+05 | 9.83e+05 |      0.16%       |    24.82%     |
|  128  | 5120  | N/A |        [[128, 5120], [5120]]         | bf16  |       4.74       |       4.76        |       4.77       |        4.46        | 6.55e+05 | 1.97e+06 |      0.27%       |    41.48%     |
|  256  | 5120  | N/A |        [[256, 5120], [5120]]         | bf16  |       6.48       |       6.52        |       6.55       |        6.92        | 1.31e+06 | 3.93e+06 |       0.4%       |    60.68%     |
|  512  | 5120  | N/A |        [[512, 5120], [5120]]         | bf16  |       9.78       |       9.81        |       9.83       |       11.83        | 2.62e+06 | 7.86e+06 |      0.53%       |    80.41%     |
| 1024  | 5120  | N/A |        [[1024, 5120], [5120]]        | bf16  |      17.54       |       17.58       |      17.61       |       21.66        | 5.24e+06 | 1.57e+07 |      0.59%       |    89.67%     |
| 2048  | 5120  | N/A |        [[2048, 5120], [5120]]        | bf16  |      36.58       |       36.61       |      36.63       |       41.32        | 1.05e+07 | 3.15e+07 |      0.56%       |     86.0%     |
| 4096  | 5120  | N/A |        [[4096, 5120], [5120]]        | bf16  |      71.02       |       71.05       |      71.08       |       80.64        | 2.10e+07 | 6.29e+07 |      0.58%       |    88.59%     |
| 8192  | 5120  | N/A |        [[8192, 5120], [5120]]        | bf16  |      137.64      |      137.68       |      137.72      |       159.29       | 4.19e+07 | 1.26e+08 |       0.6%       |    91.42%     |
| 16384 | 5120  | N/A |       [[16384, 5120], [5120]]        | bf16  |      271.79      |      271.86       |      271.92      |       316.57       | 8.39e+07 | 2.52e+08 |      0.61%       |    92.59%     |
| 32768 | 5120  | N/A |       [[32768, 5120], [5120]]        | bf16  |      536.83      |      536.89       |      536.94      |       631.15       | 1.68e+08 | 5.03e+08 |      0.61%       |    93.76%     |
|   1   | 6144  | N/A |         [[1, 6144], [6144]]          | bf16  |       2.33       |       2.39        |       2.46       |        2.02        | 6.14e+03 | 1.84e+04 |      0.01%       |     0.79%     |
|   2   | 6144  | N/A |         [[2, 6144], [6144]]          | bf16  |       3.36       |       3.38        |       3.4        |        2.05        | 1.23e+04 | 3.69e+04 |      0.01%       |     1.1%      |
|   4   | 6144  | N/A |         [[4, 6144], [6144]]          | bf16  |       3.38       |        3.4        |       3.42       |        2.09        | 2.46e+04 | 7.37e+04 |      0.01%       |     2.18%     |
