test case : H20SXM_flash_attn::flash_attn.flash_attn_qkvpacked_func
|  causal  |  deterministic  |  dropout_p  |  softmax_scale  |   window_size   |   M    |         input_shape         | dtype  | duration_min(us) | duration_mean(us) | duration_max(us) | latency_value(us) | flops_1D |      flops_2D      | flops_SFU | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU |     io     | flops_efficient_1D | flops_efficient_2D | flops_efficient_SFU | io_efficient |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  2048  |   [[1, 2048, 3, 8, 192]]    |  bf16  |      277.82      |      277.90       |      277.96      |       2.01        |  [448]   |   [24576, 24576]   |   [64]    |      7.42e-08      |      1.34e-06      |      1.53e-07       |  1.54e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  2048  |   [[2, 2048, 3, 8, 192]]    |  bf16  |      437.66      |      437.82       |      437.93      |       2.02        |  [896]   |   [49152, 49152]   |   [128]   |      9.42e-08      |      1.71e-06      |      1.94e-07       |  2.76e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  2048  |   [[4, 2048, 3, 8, 192]]    |  bf16  |      757.26      |      757.74       |      758.05      |       2.03        |  [1792]  |   [98304, 98304]   |   [256]   |      1.09e-07      |      1.97e-06      |      2.24e-07       |  5.22e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  2048  |   [[8, 2048, 3, 8, 192]]    |  bf16  |     1396.69      |      1397.04      |     1398.17      |       2.06        |  [3584]  |  [196608, 196608]  |   [512]   |      1.18e-07      |      2.14e-06      |      2.43e-07       |  1.01e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  4096  |   [[1, 4096, 3, 8, 192]]    |  bf16  |      836.69      |      837.24       |      837.53      |       2.01        |  [448]   |   [24576, 24576]   |   [64]    |      2.46e-08      |      4.47e-07      |      5.07e-08       |  1.54e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  4096  |   [[2, 4096, 3, 8, 192]]    |  bf16  |     1443.22      |      1443.88      |     1445.05      |       2.02        |  [896]   |   [49152, 49152]   |   [128]   |      2.86e-08      |      5.18e-07      |      5.88e-08       |  2.76e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  4096  |   [[4, 4096, 3, 8, 192]]    |  bf16  |     2659.26      |      2659.47      |     2659.60      |       2.03        |  [1792]  |   [98304, 98304]   |   [256]   |      3.10e-08      |      5.62e-07      |      6.38e-08       |  5.22e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  4096  |   [[8, 4096, 3, 8, 192]]    |  bf16  |     5092.12      |      5092.37      |     5092.54      |       2.06        |  [3584]  |  [196608, 196608]  |   [512]   |      3.24e-08      |      5.87e-07      |      6.66e-08       |  1.01e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  8192  |   [[1, 8192, 3, 8, 192]]    |  bf16  |     2804.22      |      2804.49      |     2804.66      |       2.01        |  [448]   |   [24576, 24576]   |   [64]    |      7.35e-09      |      1.33e-07      |      1.51e-08       |  1.54e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  8192  |   [[2, 8192, 3, 8, 192]]    |  bf16  |     5178.46      |      5178.76      |     5178.98      |       2.02        |  [896]   |   [49152, 49152]   |   [128]   |      7.96e-09      |      1.44e-07      |      1.64e-08       |  2.76e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  8192  |   [[4, 8192, 3, 8, 192]]    |  bf16  |     9919.64      |      9919.95      |     9920.20      |       2.03        |  [1792]  |   [98304, 98304]   |   [256]   |      8.31e-09      |      1.51e-07      |      1.71e-08       |  5.22e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     |  8192  |   [[8, 8192, 3, 8, 192]]    |  bf16  |     19402.21     |     19402.70      |     19403.17     |       2.06        |  [3584]  |  [196608, 196608]  |   [512]   |      8.50e-09      |      1.54e-07      |      1.75e-08       |  1.01e+05  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 16384  |   [[1, 16384, 3, 8, 192]]   |  bf16  |     10157.65     |     10158.38      |     10158.78     |       2.01        |  [448]   |   [24576, 24576]   |   [64]    |      2.03e-09      |      3.68e-08      |      4.18e-09       |  1.54e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 16384  |   [[2, 16384, 3, 8, 192]]   |  bf16  |     19518.21     |     19518.88      |     19519.15     |       2.02        |  [896]   |   [49152, 49152]   |   [128]   |      2.11e-09      |      3.83e-08      |      4.35e-09       |  2.76e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
|   True   |      True       |     0.0     |      0.01       |    [-1, -1]     | 16384  |   [[4, 16384, 3, 8, 192]]   |  bf16  |     38238.08     |     38238.74      |     38239.32     |       2.03        |  [1792]  |   [98304, 98304]   |   [256]   |      2.16e-09      |      3.91e-08      |      4.44e-09       |  5.22e+04  |       0.00%        |       0.00%        |        0.00%        |    0.00%     |
