Test Case: B200_aten-baddbmm
| B  |  M   |  K   |  N   |     _tensor      |    _tensor_1     |    _tensor_2     | dtype | duration_mean(us) | duration_min(us) | duration_max(us) | theory_latency(us) |
| 8  |  1   | 3072 | 4096 |   [8, 1, 4096]   |   [8, 1, 3072]   | [8, 3072, 4096]  | bf16  |      105.05       |      103.91      |      108.27      |        N/A         |
| 16 |  1   | 3072 | 4096 |  [16, 1, 4096]   |  [16, 1, 3072]   | [16, 3072, 4096] | bf16  |      105.31       |      104.95      |      105.78      |        N/A         |
| 32 |  1   | 3072 | 4096 |  [32, 1, 4096]   |  [32, 1, 3072]   | [32, 3072, 4096] | bf16  |      124.88       |      123.74      |      128.16      |        N/A         |
| 1  |  2   | 3072 | 4096 |   [1, 2, 4096]   |   [1, 2, 3072]   | [1, 3072, 4096]  | bf16  |       103.5       |      102.94      |      104.36      |        N/A         |
| 2  |  2   | 3072 | 4096 |   [2, 2, 4096]   |   [2, 2, 3072]   | [2, 3072, 4096]  | bf16  |      104.28       |      103.36      |      105.26      |        N/A         |
| 8  |  2   | 3072 | 4096 |   [8, 2, 4096]   |   [8, 2, 3072]   | [8, 3072, 4096]  | bf16  |      104.89       |      103.35      |      105.96      |        N/A         |
| 16 |  2   | 3072 | 4096 |  [16, 2, 4096]   |  [16, 2, 3072]   | [16, 3072, 4096] | bf16  |      105.93       |      105.21      |      107.65      |        N/A         |
| 32 |  2   | 3072 | 4096 |  [32, 2, 4096]   |  [32, 2, 3072]   | [32, 3072, 4096] | bf16  |      127.22       |      126.17      |      130.06      |        N/A         |
| 1  |  8   | 3072 | 4096 |   [1, 8, 4096]   |   [1, 8, 3072]   | [1, 3072, 4096]  | bf16  |      104.33       |      103.84      |      104.98      |        N/A         |
| 2  |  8   | 3072 | 4096 |   [2, 8, 4096]   |   [2, 8, 3072]   | [2, 3072, 4096]  | bf16  |      104.73       |      103.98      |      105.2       |        N/A         |
| 8  |  8   | 3072 | 4096 |   [8, 8, 4096]   |   [8, 8, 3072]   | [8, 3072, 4096]  | bf16  |      104.76       |      103.88      |      105.25      |        N/A         |
