Test Case: L40S_apex_fused_layer_norm_cuda.rms_forward
|   M   |   N   |  _val   | _val(1) |   input_shape    | dtype | duration_min(us) | duration_mean(us) | duration_max(us) | theory_latency(us) | flops_1D | flops_SFU |    io    | flops_efficiency_1D | flops_efficiency_SFU | io_efficiency |
| 8192  | 6144  | [6144]  | 0.0001  |  [[8192, 6144]]  | bf16  |      308.67      |      309.03       |      309.36      |       293.27       | 4.03e+08 | 5.03e+07  | 1.01e+08 |        2.85%        |        2.85%         |    75.49%     |
| 16384 | 6144  | [6144]  | 0.0001  | [[16384, 6144]]  | bf16  |      615.86      |      616.37       |      616.77      |       584.54       | 8.05e+08 | 1.01e+08  | 2.01e+08 |        2.86%        |        2.86%         |    75.67%     |
| 32768 | 6144  | [6144]  | 0.0001  | [[32768, 6144]]  | bf16  |     1236.62      |      1237.2       |     1237.83      |      1167.08       | 1.61e+09 | 2.01e+08  | 4.03e+08 |        2.84%        |        2.84%         |    75.37%     |
| 65536 | 6144  | [6144]  | 0.0001  | [[65536, 6144]]  | bf16  |     2456.19      |      2457.27      |     2458.29      |      2332.17       | 3.22e+09 | 4.03e+08  | 8.05e+08 |        2.86%        |        2.86%         |     75.9%     |
|   1   | 8192  | [8192]  | 0.0001  |   [[1, 8192]]    | bf16  |       6.23       |       6.27        |       6.32       |        2.05        | 6.55e+04 | 8.19e+03  | 1.64e+04 |        0.02%        |        0.02%         |     0.61%     |
|   2   | 8192  | [8192]  | 0.0001  |   [[2, 8192]]    | bf16  |       6.39       |       6.41        |       6.44       |        2.09        | 1.31e+05 | 1.64e+04  | 3.28e+04 |        0.04%        |        0.04%         |     1.19%     |
|   4   | 8192  | [8192]  | 0.0001  |   [[4, 8192]]    | bf16  |       6.46       |       6.51        |       6.56       |        2.19        | 2.62e+05 | 3.28e+04  | 6.55e+04 |        0.09%        |        0.09%         |     2.35%     |
|   8   | 8192  | [8192]  | 0.0001  |   [[8, 8192]]    | bf16  |       6.48       |        6.5        |       6.52       |        2.38        | 5.24e+05 | 6.55e+04  | 1.31e+05 |        0.18%        |        0.18%         |     4.68%     |
|  16   | 8192  | [8192]  | 0.0001  |   [[16, 8192]]   | bf16  |       8.46       |        8.5        |       8.54       |        2.76        | 1.05e+06 | 1.31e+05  | 2.62e+05 |        0.27%        |        0.27%         |     7.17%     |
|  32   | 8192  | [8192]  | 0.0001  |   [[32, 8192]]   | bf16  |       8.45       |       8.48        |       8.5        |        3.52        | 2.10e+06 | 2.62e+05  | 5.24e+05 |        0.54%        |        0.54%         |    14.36%     |
|  64   | 8192  | [8192]  | 0.0001  |   [[64, 8192]]   | bf16  |       8.53       |       8.57        |       8.59       |        5.03        | 4.19e+06 | 5.24e+05  | 1.05e+06 |        1.07%        |        1.07%         |    28.46%     |
|  128  | 8192  | [8192]  | 0.0001  |  [[128, 8192]]   | bf16  |       8.56       |       8.57        |       8.59       |        8.07        | 8.39e+06 | 1.05e+06  | 2.10e+06 |        2.14%        |        2.14%         |    56.71%     |
|  256  | 8192  | [8192]  | 0.0001  |  [[256, 8192]]   | bf16  |       8.81       |       8.87        |       8.94       |       14.14        | 1.68e+07 | 2.10e+06  | 4.19e+06 |        4.16%        |        4.16%         |    110.2%     |
|  512  | 8192  | [8192]  | 0.0001  |  [[512, 8192]]   | bf16  |      13.97       |       14.07       |      14.12       |       26.27        | 3.36e+07 | 4.19e+06  | 8.39e+06 |        5.24%        |        5.24%         |    139.0%     |
| 1024  | 8192  | [8192]  | 0.0001  |  [[1024, 8192]]  | bf16  |      19.15       |       19.23       |      19.31       |       50.55        | 6.71e+07 | 8.39e+06  | 1.68e+07 |        7.65%        |        7.65%         |    202.8%     |
